station,rows,first,last,expected_hours,actual_unique_hours,missing_hours,duplicate_hours,invalid_datetime,off_hour_timestamps,same_global_start,same_global_end
E403,14100,2024-05-02 20:00:00,2025-12-11 07:00:00,14100,14100,0,0,0,0,True,True
E404,14100,2024-05-02 20:00:00,2025-12-11 07:00:00,14100,14100,0,0,0,0,True,True
E405,14100,2024-05-02 20:00:00,2025-12-11 07:00:00,14100,14100,0,0,0,0,True,True
E407,14100,2024-05-02 20:00:00,2025-12-11 07:00:00,14100,14100,0,0,0,0,True,True
E408,14100,2024-05-02 20:00:00,2025-12-11 07:00:00,14100,14100,0,0,0,0,True,True
E409,14100,2024-05-02 20:00:00,2025-12-11 07:00:00,14100,14100,0,0,0,0,True,True
E410,14100,2024-05-02 20:00:00,2025-12-11 07:00:00,14100,14100,0,0,0,0,True,True
E411,14100,2024-05-02 20:00:00,2025-12-11 07:00:00,14100,14100,0,0,0,0,True,True
E412,14100,2024-05-02 20:00:00,2025-12-11 07:00:00,14100,14100,0,0,0,0,True,True
E413,14100,2024-05-02 20:00:00,2025-12-11 07:00:00,14100,14100,0,0,0,0,True,True
E414,14100,2024-05-02 20:00:00,2025-12-11 07:00:00,14100,14100,0,0,0,0,True,True
E415,14100,2024-05-02 20:00:00,2025-12-11 07:00:00,14100,14100,0,0,0,0,True,True
E417,14100,2024-05-02 20:00:00,2025-12-11 07:00:00,14100,14100,0,0,0,0,True,True
E418,14100,2024-05-02 20:00:00,2025-12-11 07:00:00,14100,14100,0,0,0,0,True,True
E420,14100,2024-05-02 20:00:00,2025-12-11 07:00:00,14100,14100,0,0,0,0,True,True
E421,14100,2024-05-02 20:00:00,2025-12-11 07:00:00,14100,14100,0,0,0,0,True,True
E423,14100,2024-05-02 20:00:00,2025-12-11 07:00:00,14100,14100,0,0,0,0,True,True
E801,14100,2024-05-02 20:00:00,2025-12-11 07:00:00,14100,14100,0,0,0,0,True,True
E802,14100,2024-05-02 20:00:00,2025-12-11 07:00:00,14100,14100,0,0,0,0,True,True
E803,14100,2024-05-02 20:00:00,2025-12-11 07:00:00,14100,14100,0,0,0,0,True,True
E804,14100,2024-05-02 20:00:00,2025-12-11 07:00:00,14100,14100,0,0,0,0,True,True
